,b7,b12,b8,b19,b20,b11,b31,b39,b41,b45,b46,b40,b49,b27,b50,b55,b56,b59,b51,b63,b47,b64,b61,b67,b98,b103,b113,b112,b119,b97,b118,b136,b141,b89,b143,b149,b148,b146,b155,b156,b165,b154,b169,b130,b166,b172,b170,b192,b193,b199,b207,b205,b198,b206,b204
SoC_init,0.1,,0.1,,,,,,,,,,0.1,,,0.1,0.1,,,,,,,,,0.1,,,,,,,0.1,,,0.1,,,,,,,,,,,,,,,,,,,0.1
P_max_bat,3.0,,2.0,,,,,,,,,,4.0,,,3.0,3.0,,,,,,,,,5.0,,,,,,,3.5,,,4.0,,,,,,,,,,,,,,,,,,,3.0
E_max,18.0,,4.0,,,,,,,,,,16.0,,,20,13.0,,,,,,,,,20,,,,,,,7.0,,,10.0,,,,,,,,,,,,,,,,,,,18.0
SoC_min,0.1,,0.1,,,,,,,,,,0.1,,,0.1,0.1,,,,,,,,,0.1,,,,,,,0.1,,,0.1,,,,,,,,,,,,,,,,,,,0.1
SoC_max,0.9,,0.9,,,,,,,,,,0.9,,,0.9,0.9,,,,,,,,,0.9,,,,,,,0.9,,,0.9,,,,,,,,,,,,,,,,,,,0.9
PV_rated,5,5,8.0,,9.0,2.0,5.0,5,5,,,5,8.0,,10.0,5,5,,6.0,,4.0,5,7.0,2.0,2.0,9.0,8.0,,5,,3.0,2.0,8.0,,,7.0,5,4.0,,2.0,,,,9.0,,5,5,,,,,,7.0,,6.0
ch_eff,0.9,,0.9,,,,,,,,,,0.9,,,0.9,0.9,,,,,,,,,0.9,,,,,,,0.9,,,0.9,,,,,,,,,,,,,,,,,,,0.9
dch_eff,0.9,,0.9,,,,,,,,,,0.9,,,0.9,0.9,,,,,,,,,0.9,,,,,,,0.9,,,0.9,,,,,,,,,,,,,,,,,,,0.9
t_lpf_bat,100,,100,,,,,,,,,,100,,,100,100,,,,,,,,,100,,,,,,,100,,,100,,,,,,,,,,,,,,,,,,,100
