L1,210
L2,56
L3,210
L4,210
L5,98
L6,98
L7,98
L8,98
L9,210
L10,98
L11,98
L12,210
L13,348
L14,210
L15,210
L16,210
L17,98
L18,98
L19,98
L20,497
L21,210
L22,497
L23,270
L24,56
L25,497
L26,98
L27,497
L28,497
L29,98
L30,98
L31,497
L32,497
L33,98
L34,497
L35,98
L36,497
L37,497
L38,98
L39,98
L40,98
L41,497
L42,98
L43,497
L44,98
L45,98
L46,98
L47,270
L48,98
L49,98
L50,98
L51,270
L52,210
L53,270
L54,98
L55,98
L56,98
L57,210
L58,98
L59,210
L60,98
L61,210
L62,98
L63,98
L64,270
L65,98
L66,98
L67,98
L68,98
L69,270
L70,270
L71,270
L72,210
L73,210
L74,210
L75,210
L76,210
L77,210
L78,210
L79,210
L80,210
L81,210
L82,210
L83,210
L84,98
L85,210
L86,210
L87,210
L88,98
L89,210
L90,210
L91,210
L92,210
L93,98
L94,210
L95,210
L96,98
L97,98
L98,210
L99,210
L100,210
L101,210
L102,98
L103,270
L104,210
L105,210
L106,98
L107,210
L108,210
L109,210
L110,210
L111,98
L112,98
L113,210
L114,210
L115,210
L116,210
L117,98
L118,98
L119,210
L120,210
L121,210
L122,210
L123,98
L124,210
L125,210
L126,210
L127,210
L128,210
L129,98
L130,270
L131,210
L132,210
L133,210
L134,210
L135,98
L136,270
L137,210
L138,210
L139,210
L140,98
L141,98
L142,98
L143,210
L144,210
L145,98
L146,270
L147,98
L148,98
L149,98
L150,270
L151,98
L152,270
L153,98
L154,98
L155,98
L156,270
L157,210
L158,210
L159,210
L160,210
L161,98
L162,210
L163,98
L164,98
L165,98
L166,210
L167,98
L168,98
L169,98
L170,98
L171,98
L172,98
L173,233
L174,210
L175,210
L176,210
L177,210
L178,210
L179,210
L180,210
L181,210
L182,210
L183,210
L184,98
L185,210
L186,210
L187,210
L188,210
L189,210
L190,210
L191,98
L192,98
L193,210
L194,210
L195,210
L196,210
L197,98
L198,98
L199,210
L200,210
L201,210
L202,210
L203,98
L204,128
L205,98
L206,98
